Grau_mu,Erro_Norma,Max_Gap,Variaveis,Linhas_LMI
0,7.9692e+00,2.7424e+00,139,41
1,5.5950e+00,2.0809e+00,140,41
2,4.4076e+00,1.6761e+00,141,41
3,3.9200e+00,1.4969e+00,142,41
4,3.9399e+00,1.5225e+00,143,41
5,3.9399e+00,1.5225e+00,144,41
6,3.9399e+00,1.5225e+00,145,41
7,3.9399e+00,1.5225e+00,146,41
8,3.9399e+00,1.5225e+00,147,41
