Grau_mu,Erro_Norma,Max_Gap,Variaveis,Linhas_LMI
0,7.9692e+00,2.7424e+00,185,52
1,5.5930e+00,2.0804e+00,186,52
2,3.2438e+00,1.2584e+00,187,52
3,2.5124e+00,9.8434e-01,188,52
4,2.5700e+00,1.0507e+00,189,52
5,2.5731e+00,1.0530e+00,190,52
6,2.5731e+00,1.0530e+00,191,52
7,2.5731e+00,1.0530e+00,192,52
8,2.5731e+00,1.0530e+00,193,52
