Grau_P,Erro_mu0,MaxGap_mu0,V_mu0,L_mu0,Erro_mu1,MaxGap_mu1,V_mu1,L_mu1,Erro_mu8,MaxGap_mu8,V_mu8,L_mu8
1,12.1076856185701,3.73521540322688,93,30,10.1589800288935,3.13798455924643,94,30,7.61101478208379,2.49794178411101,101,30
2,7.96918180827589,2.74244677046187,139,41,5.59500652756008,2.08086332344191,140,41,3.93993898956614,1.52248818592939,147,41
3,7.96918180992523,2.74244677088017,185,52,5.59296659535489,2.08036317195847,186,52,2.57307372088594,1.05301688722344,193,52
4,7.96918180563592,2.74244676979234,231,63,5.59296660530449,2.08036317469346,232,63,1.94357743314738,0.811637723610932,239,63
5,7.96918180584257,2.74244676984475,277,74,5.59296660108795,2.08036317354592,278,74,1.42633455802485,0.606690751382213,285,74
