Grau_mu,Erro_Norma,Max_Gap,Variaveis,Linhas_LMI
0,7.96918180827589,2.74244677046187,139,41
1,5.59500652756008,2.08086332344191,140,41
2,4.40758914606349,1.67608284367917,141,41
3,3.91998866240402,1.49693164801458,142,41
4,3.9399371223709,1.52248710730876,143,41
5,3.93993586315681,1.52248722360846,144,41
6,3.93993922121824,1.5224881743482,145,41
7,3.93993928791528,1.52248826050587,146,41
8,3.93993898956614,1.52248818592939,147,41
