Grau_P,Grau_rho,Erro_Norma,Max_Gap,Min_Gap,Norma_Melhor_Caso,Norma_Pior_Caso,Variaveis,Linhas_LMI,K_wc_Mode1_1,K_wc_Mode1_2,K_wc_Mode1_3,K_wc_Mode1_4,K_wc_Mode2_1,K_wc_Mode2_2,K_wc_Mode2_3,K_wc_Mode2_4
3,0,10.6317352300155,3.08448036039258,0.665312246610684,2.27533706913599,4.69450518291789,119,163,-0.0692184907506673,0.0846658957956613,0.567398397098256,0.861491902964893,0,0,0,0
3,1,8.95754827436958,2.56637443062302,0.482980231806826,2.27734701116154,4.6841432279562,122,164,-0.0687745465795012,0.085815366627481,0.567089730552497,0.857844406549052,0,0,0,0
3,2,8.28657755711815,2.60828496951086,0.530634658707961,2.27789845292317,4.68102877957477,125,165,-0.0688060848291885,0.0862649326001999,0.567588125673252,0.857038052022672,0,0,0,0
3,3,8.10455934241825,2.54850633106691,0.555729990069856,2.27833884833132,4.67890800281169,128,166,-0.068774287027338,0.0865508557960102,0.567740358703425,0.856346475973668,0,0,0,0
3,4,8.03575719712983,2.53390462917223,0.579267648130213,2.27814596089757,4.67940296272417,131,167,-0.0687467892342611,0.086477549122527,0.567751152900913,0.856647201973448,0,0,0,0
3,5,7.99620147814088,2.53111199667549,0.592248949192164,2.27815662978891,4.67922858982543,134,178,-0.0687459882032202,0.0865040886893199,0.56781020489203,0.856638751856643,0,0,0,0
4,0,10.6317573006925,3.08448362090747,0.665324759449186,2.27533496764819,4.69449382910647,139,197,-0.0692178436617075,0.0846692513647341,0.567399941094291,0.861499822505197,0,0,0,0
4,1,8.95755184482364,2.56637536930124,0.482980920291595,2.27734674593289,4.68414282584971,142,198,-0.0687750604222713,0.0858162041655118,0.567090059792768,0.857846545773524,0,0,0,0
4,2,8.17403220062537,2.63384854244726,0.52961180393133,2.27849497269282,4.67878794531977,145,199,-0.0688288512805847,0.0865839638659325,0.567678656242302,0.85612035561869,0,0,0,0
4,3,7.98261158353284,2.53704985575601,0.580939941024508,2.2781110921687,4.67976366262315,148,200,-0.0687768409788516,0.0864394338031236,0.567713524806624,0.856718555061547,0,0,0,0
4,4,7.92666435758825,2.53053254667617,0.601916912002686,2.27809887522519,4.67954459371572,151,201,-0.0687666771076324,0.0864791704307591,0.567780010753534,0.856766273642672,0,0,0,0
4,5,7.89658470695174,2.52816082890165,0.613610730999403,2.27811313263764,4.67941750547955,154,202,-0.0687814038876203,0.086510429274965,0.567834519434908,0.856773773885028,0,0,0,0
5,0,10.6317382365945,3.08448008268646,0.665319368472974,2.2753379938141,4.69449870802759,159,231,-0.0692186837799185,0.0846679467289515,0.56739657505013,0.861493108526936,0,0,0,0
5,1,8.95755294318489,2.56637543794077,0.482982300547816,2.27734678172712,4.68414145130801,162,232,-0.0687745752779227,0.0858160216890438,0.567089919089238,0.857845754879795,0,0,0,0
5,2,8.11907118128268,2.60793774082133,0.534702651717572,2.27847605428092,4.67891454035177,165,233,-0.0688256056516935,0.0865509982447399,0.567681827733009,0.856114231215298,0,0,0,0
5,3,7.96474176998769,2.53694507878763,0.582516478914304,2.27812932784987,4.67968676174431,168,234,-0.0687583124669689,0.0864408003862702,0.567674981845785,0.856672546762452,0,0,0,0
5,4,7.84308192527792,2.53473257251939,0.61642532026092,2.27825128278983,4.6789119464583,171,235,-0.0687786355751333,0.0865707857208715,0.56785584510063,0.856535765255611,0,0,0,0
5,5,7.80713461438045,2.53317161142204,0.634269432117658,2.27832416240603,4.67855518713852,174,236,-0.0687787530718805,0.086622371328039,0.567900073033759,0.856428268086363,0,0,0,0
