Grau_P,Grau_mu,Erro_Norma,Max_Gap,Min_Gap,Norma_Melhor_Caso,Norma_Pior_Caso,Variaveis,Linhas_LMI,K_wc_Mode1_1,K_wc_Mode1_2
1,0,400.771429460638,9.6161928542593,6.38146533569936,0,3.23472751855994,19,32,-0.350796948545735,0.924314763147365
1,1,248.986190768184,8.93017460931498,1.1831564739814,0,3.17357370722932,22,32,-0.348627700916058,0.923647274138597
1,2,164.105439343711,8.33218571698582,1.05595098364873,0,3.17663984418563,28,68,-0.348738374825583,0.923681330545955
1,3,125.079689756122,8.11101839904256,0.860861786712906,0,3.17478273244902,38,128,-0.348671366277883,0.923660710317456
1,4,102.884861360631,8.03019922568326,0.720442781997863,0,3.14337263625386,53,218,-0.348016608453394,0.922852150778924
1,5,88.602405607063,7.95883233159314,0.623801937742651,0,3.1207854669756,74,344,-0.347557685417983,0.922243054676272
2,0,400.77144428384,9.61619332093901,6.38144718580386,0,3.23474613513515,37,80,-0.350797589623294,0.924314969426853
2,1,248.986195637413,8.93020137454669,1.18314407304637,0,3.17358392696538,40,80,-0.348628069187232,0.923647388649054
2,2,162.850619815886,8.32527562468826,1.03818412939476,0,3.17501007105565,46,80,-0.348679572390841,0.923663236536216
2,3,122.813707685526,8.02637753731923,0.822434664135087,0,3.18327674656993,56,140,-0.348977236526084,0.92375483079653
2,4,99.695201853488,7.87434628645143,0.68344530454542,0,3.19115602720835,71,230,-0.349259570435868,0.923841707678019
2,5,84.9470433247496,7.75378668834925,0.589550328650177,0,3.19841785448959,92,356,-0.349518595654818,0.923921410502016
3,0,400.771453547129,9.61619354848938,6.38144619603233,0,3.23474735245706,67,160,-0.350797631212594,0.924314983222971
3,1,248.986206644009,8.93019934603581,1.18314321642142,0,3.17358055050668,70,160,-0.348627947070545,0.923647351231235
3,2,161.596511851613,8.31615229776,1.01354350401694,0,3.17413631304932,76,160,-0.348648022961295,0.923653528760862
3,3,121.723599344944,8.01189286839872,0.817641085201471,0,3.18125019968722,86,160,-0.34890440278138,0.923732419256021
3,4,98.892363337373,7.86354617832653,0.679072707977585,0,3.18923546896838,101,250,-0.34919087586074,0.923820569663363
3,5,84.1639055767542,7.74202766336653,0.583024146144641,0,3.19618765097641,122,376,-0.349439165147843,0.923896970638576
4,0,400.771456227362,9.61619359619374,6.38144879223165,0,3.23474480396209,112,280,-0.350797542374931,0.924314955990699
4,1,248.98620678961,8.930201820619,1.18313992402025,0,3.17357653291489,115,280,-0.34862780192902,0.923647306556084
4,2,160.645341180511,8.3175173376705,0.984894146419687,0,3.17362904021505,121,280,-0.348629698927469,0.923647890309441
4,3,118.663995413359,7.97469637310757,0.74308871158916,0,3.17685104498913,131,280,-0.348745990453412,0.923683674283684
4,4,98.2419445981076,7.84730149218721,0.676379013060018,0,3.18810741627426,146,280,-0.349150490452519,0.923808142754328
4,5,83.6137576748545,7.72204180374887,0.579737382808419,0,3.19564406118091,167,406,-0.349419788944483,0.923891008359175
5,0,400.771453446244,9.61619359832072,6.38143791682912,0,3.2347556814916,175,448,-0.3507979213358,0.924315072425688
5,1,248.98620631606,8.93021546633283,1.18313779849532,0,3.17356713680422,178,448,-0.34862746246932,0.92364720208108
5,2,154.966869029572,8.08031286189196,1.06479346627009,0,3.19422344966357,184,448,-0.34936912130613,0.923875417502668
5,3,116.801558007266,7.89802446098763,0.724635198447606,0,3.17539816322195,194,448,-0.348693579833212,0.923667547046033
5,4,94.7276540600557,7.74476542867209,0.632392414948728,0,3.18718865012867,209,448,-0.349117577435822,0.923798015100376
5,5,83.2809429721489,7.71330933914177,0.578858470912174,0,3.19477179876458,230,448,-0.34938868390973,0.923881437072967
