Grau_P,Grau_mu,Erro_Norma,Max_Gap,Min_Gap,Norma_Melhor_Caso,Norma_Pior_Caso,Variaveis,Linhas_LMI
1,0,87.4412164924142,2.12828527000659,1.32483528142545,0,0.803449988581145,23,40
1,1,61.450857662237,2.19214397030052,0.699817545349705,0,0.809992048121363,26,40
1,2,61.4508581575318,2.19214479691444,0.699816029357608,0,0.809992512813927,32,40
1,3,61.450857774003,2.19214511149843,0.699816019255526,0,0.809992407207037,42,40
1,4,61.4508576713135,2.19214441459327,0.699817014862769,0,0.809992051356411,57,40
1,5,61.4508553033613,2.19213917344659,0.699821868253187,0,0.80999142365051,78,40
2,0,87.4412324655618,2.12828552701622,1.32483979574707,0,0.803445731269153,47,100
2,1,61.4508561842018,2.19214070081948,0.699819339750703,0,0.809992213605685,50,100
2,2,43.5081568808935,2.22861157134385,0.674961600548767,0,0.811666859364643,56,100
2,3,43.5081531693359,2.228608477548,0.674963948708015,0,0.811666268477708,66,100
2,4,43.5081499136204,2.22860708949327,0.674965196478237,0,0.81166603943025,81,100
2,5,43.5081463437479,2.22860573230937,0.674966140133729,0,0.811665868260363,102,100
3,0,87.4412321409562,2.12828553067712,1.32483861806895,0,0.80344691260817,87,200
3,1,61.4508574008012,2.19214353765492,0.699816524774219,0,0.80999237646088,90,200
3,2,40.9902316245023,2.20571426381214,0.581196304510267,0,0.810724252895784,96,200
3,3,35.5528286874594,2.28683331082878,0.549040158831823,0,0.813840919778505,106,200
3,4,35.5528261621211,2.28683054582193,0.549040482293947,0,0.813840326590667,121,200
3,5,35.5528251205681,2.28683040896868,0.54904047631882,0,0.813840498660462,142,200
4,0,87.4412318318161,2.12828553640624,1.32483909294972,0,0.803446443456521,147,350
4,1,61.4508581774017,2.1921424043008,0.699819246937609,0,0.809991069396946,150,350
4,2,39.6372019198475,2.19375105491911,0.508891638851583,0,0.810200420913213,156,350
4,3,33.7891163490232,2.26381951548524,0.481094070152873,0,0.813149992265921,166,350
4,4,31.1723626978947,2.35654345972333,0.465254422058006,0,0.816001068324643,181,350
4,5,31.1723623516204,2.35654334579934,0.46525442586827,0,0.816001315965085,202,350
5,0,87.4412326766274,2.1282855365327,1.32483977789003,0,0.803445758642671,231,560
5,1,61.4508586514115,2.19214371253855,0.699817343120299,0,0.809991635611216,234,560
5,2,38.0248484390998,2.1788956494223,0.468630682858431,0,0.809350177902552,240,560
5,3,32.5176075781588,2.24973750259389,0.434028086825144,0,0.812608675353264,250,560
5,4,29.819949118684,2.33561233694223,0.417218285062039,0,0.81562556199416,265,560
5,5,28.4422046134003,2.43204000900855,0.409143460120199,0,0.818048860470894,286,560
