Alpha,Grau_rho,Custo_Garantido,Custo_Real
0,0,0.614736291527767,0.0990665279342224
0.05,0,0.614736291527767,0.099763114570458
0.1,0,0.614736291527767,0.101330498847161
0.15,0,0.614736291527767,0.103189385548652
0.2,0,0.614736291527767,0.105698322262573
0.25,0,0.614736291527767,0.10697014098238
0.3,0,0.614736291527767,0.108463698762689
0.35,0,0.614736291527767,0.108128833506281
0.4,0,0.614736291527767,0.105789998397957
0.45,0,0.614736291527767,0.10182081016152
0.5,0,0.614736291527767,0.0977371454728868
0.55,0,0.614736291527767,0.096920579180405
0.6,0,0.614736291527767,0.104219650982185
0.65,0,0.614736291527767,0.124383674837299
0.7,0,0.614736291527767,0.155273504807361
0.75,0,0.614736291527767,0.194942254603064
0.8,0,0.614736291527767,0.241570657205839
0.85,0,0.614736291527767,0.29789851367005
0.9,0,0.614736291527767,0.359290007936664
0.95,0,0.614736291527767,0.431906595615492
1,0,0.614736291527767,0.52616667035722
0,1,0.542151153321294,0.0994051491671044
0.05,1,0.548336221657209,0.0999193396420013
0.1,1,0.554452298142049,0.101360521209621
0.15,1,0.560501641254238,0.103034165854938
0.2,1,0.566486388876547,0.105548873168292
0.25,1,0.572408567123244,0.106678873658313
0.3,1,0.578270098353513,0.108131906366489
0.35,1,0.584072808460963,0.107746330734228
0.4,1,0.589818433517614,0.105364389671381
0.45,1,0.595508625840858,0.10136596182317
0.5,1,0.601144959543505,0.0972729114629618
0.55,1,0.606728935619736,0.0964879426372248
0.6,1,0.612261986613536,0.103911841099744
0.65,1,0.617745480910746,0.124281999253768
0.7,1,0.623180726691177,0.155447028789513
0.75,1,0.628568975573118,0.195463755076117
0.8,1,0.633911425979004,0.242518000780128
0.85,1,0.639209226247893,0.299338186139755
0.9,1,0.644463477517637,0.361214649841495
0.95,1,0.649675236397249,0.434171746624549
1,1,0.65484551744783,0.528233305004669
0,2,0.57474063236974,0.0994049968655395
0.05,2,0.539638172939704,0.0998053389582487
0.1,2,0.506545033522429,0.101123147692073
0.15,2,0.475880588356344,0.10259263313606
0.2,2,0.448143668769432,0.105086527967102
0.25,2,0.423909319828518,0.106069863347433
0.3,2,0.403808649130293,0.10747192122706
0.35,2,0.388483833489878,0.107038818061374
0.4,2,0.378515393014808,0.104635250144017
0.45,2,0.374331493079226,0.100661496836544
0.5,2,0.376125219532398,0.0966703485362213
0.55,2,0.383812773264872,0.0961205338999274
0.6,2,0.397051960289649,0.103986910341622
0.65,2,0.415312200054415,0.124915904567173
0.7,2,0.437965909579533,0.156725388121254
0.75,2,0.464370544381555,0.197487555359191
0.8,2,0.493924910406653,0.245408075641614
0.85,2,0.526098452617781,0.30319366376603
0.9,2,0.560440270384838,0.36597722671855
0.95,2,0.596576031689878,0.439460595792022
1,2,0.634199161620589,0.532723410052175
0,3,0.538174507590352,0.0994050868889595
0.05,3,0.50565249910518,0.0998775915681282
0.1,3,0.474482617192604,0.101273532146299
0.15,3,0.445124580201596,0.102875328301497
0.2,3,0.418147153853844,0.105379353258004
0.25,3,0.394237725144176,0.106455847080985
0.3,3,0.374193927839087,0.107889825749557
0.35,3,0.35888209229506,0.10748667802471
0.4,3,0.349149458429777,0.105096777155722
0.45,3,0.345693851357622,0.101107438021265
0.5,3,0.348925806703518,0.0970517885978915
0.55,3,0.358882240091587,0.0963529060487696
0.6,3,0.375236123866654,0.103938629585824
0.65,3,0.397394585478076,0.12451334138363
0.7,3,0.42463344754183,0.155914150807316
0.75,3,0.456214480311639,0.196203244690618
0.8,3,0.491459964972947,0.243573500637532
0.85,3,0.529786257774283,0.300745184853732
0.9,3,0.570709712631094,0.362950390265143
0.95,3,0.61383822579391,0.436093275572502
1,3,0.658857368304529,0.529847322509457
0,4,0.531578165150693,0.0994051394137294
0.05,4,0.495632882770936,0.0999044176611897
0.1,4,0.46158515887185,0.101329416276032
0.15,4,0.429663966172279,0.102977720760089
0.2,4,0.400215580833163,0.105488242016184
0.25,4,0.373731828444608,0.106599138755765
0.3,4,0.350872034858138,0.108045308795899
0.35,4,0.332462749002804,0.107653428616691
0.4,4,0.319450955487477,0.105268636119285
0.45,4,0.312788637418431,0.101273463951191
0.5,4,0.313255293621486,0.0971937949791884
0.55,4,0.321278687466563,0.0964395977158634
0.6,4,0.336846280858681,0.103921320199527
0.65,4,0.359556920013453,0.124364593788703
0.7,4,0.388772441610234,0.15561388579336
0.75,4,0.423782187740658,0.195727903026998
0.8,4,0.46391949447041,0.242894962424615
0.85,4,0.508618419959569,0.299840542638839
0.9,4,0.557427179574398,0.361834081242627
0.95,4,0.609998854950362,0.434856682986414
1,4,0.6660737474489,0.528806464919743
0,5,0.527462384773385,0.099405151577903
0.05,5,0.490260946798545,0.0999141785400739
0.1,5,0.454978998372044,0.101349759886135
0.15,5,0.421775216336545,0.103014679055376
0.2,5,0.390909377847139,0.105527893725321
0.25,5,0.362780084545709,0.106651287734954
0.3,5,0.337965603915183,0.108101939766872
0.35,5,0.317255457441281,0.107714180024402
0.4,5,0.301646630137688,0.105331251581107
0.45,5,0.292266004119337,0.101333950705664
0.5,5,0.290192387443733,0.0972455308971118
0.55,5,0.296212744633551,0.0964712070504872
0.6,5,0.310630033882571,0.10391510663255
0.65,5,0.333242472024615,0.124310558318715
0.7,5,0.363495929743999,0.155504735947485
0.75,5,0.400697378569015,0.195555111353552
0.8,5,0.444181183514838,0.242648366626453
0.85,5,0.493393822275442,0.299511901014079
0.9,5,0.547915686104307,0.361428812343105
0.95,5,0.607449977327065,0.434408457100799
1,5,0.671800065580833,0.528431122890785
