Grau_mu,Erro_Norma,Max_Gap,Variaveis,Linhas_LMI
0,22.4578656117048,7.42975399531613,113,36
1,22.7020324834596,7.67577902070374,114,36
2,21.4144811324349,7.77896787497267,115,36
3,21.4144563523056,7.77894628482527,116,46
4,21.41445222847,7.77894035487273,117,56
5,20.8323574262572,7.37554187143042,118,66
6,20.2371470273207,7.05282838631789,119,76
7,19.7847716535806,6.82254358478962,120,86
8,19.4294459094237,6.67361702516098,121,96
9,19.1498708175009,6.56239429709095,122,106
10,18.9255980621258,6.47680485929609,123,116
