Grau_mu,Erro_Norma,Max_Gap,Variaveis,Linhas_LMI
0,2.2458e+01,7.4298e+00,113,36
1,2.2702e+01,7.6758e+00,114,36
2,2.1414e+01,7.7790e+00,115,36
3,2.1414e+01,7.7789e+00,116,46
4,2.1414e+01,7.7789e+00,117,56
5,2.0832e+01,7.3755e+00,118,66
6,2.0237e+01,7.0528e+00,119,76
7,1.9785e+01,6.8225e+00,120,86
8,1.9429e+01,6.6736e+00,121,96
9,1.9150e+01,6.5624e+00,122,106
10,1.8926e+01,6.4768e+00,123,116
