Grau_P,Erro_mu0,MaxGap_mu0,V_mu0,L_mu0,Erro_mu1,MaxGap_mu1,V_mu1,L_mu1,Erro_mu8,MaxGap_mu8,V_mu8,L_mu8
1,2.2458e+01,7.4298e+00,113,36,2.2702e+01,7.6758e+00,114,36,1.9429e+01,6.6736e+00,121,96
2,1.6639e+01,6.0070e+00,169,49,1.3430e+01,4.8975e+00,170,49,6.5311e+00,2.4021e+00,177,99
3,1.6639e+01,6.0070e+00,225,62,1.3430e+01,4.8975e+00,226,62,5.8120e+00,2.2072e+00,233,102
4,1.6639e+01,6.0070e+00,281,75,1.3430e+01,4.8975e+00,282,75,3.4356e+00,1.4012e+00,289,105
5,1.6639e+01,6.0070e+00,337,88,1.3430e+01,4.8975e+00,338,88,2.3234e+00,1.2072e+00,345,108
