Grau_mu,Erro_Norma,Max_Gap,Variaveis,Linhas_LMI
0,1.6639e+01,6.0070e+00,169,49
1,1.3430e+01,4.8975e+00,170,49
2,1.3445e+01,5.0396e+00,171,49
3,6.5934e+00,2.3665e+00,172,49
4,6.5916e+00,2.3661e+00,173,59
5,6.5757e+00,2.3559e+00,174,69
6,6.5733e+00,2.3547e+00,175,79
7,6.5648e+00,2.3495e+00,176,89
8,6.5311e+00,2.4021e+00,177,99
