Grau_P,Erro_mu0,MaxGap_mu0,V_mu0,L_mu0,Erro_mu1,MaxGap_mu1,V_mu1,L_mu1,Erro_mu8,MaxGap_mu8,V_mu8,L_mu8
1,22.4578656117048,7.42975399531613,113,36,22.7020324834596,7.67577902070374,114,36,19.4294459094237,6.67361702516098,121,96
2,16.6389485674942,6.00702663913413,169,49,13.4303162274619,4.89752164053484,170,49,6.53112139543313,2.40210811400235,177,99
3,16.6389485651265,6.00702663852817,225,62,13.4303162286313,4.89752165280276,226,62,5.81200182644877,2.20722429733736,233,102
4,16.6389485551642,6.00702663597853,281,75,13.4303163428864,4.89752167419395,282,75,3.43564170219831,1.40117494388602,289,105
5,16.638951348892,6.00702735097553,337,88,13.4303165771136,4.8975216895554,338,88,2.32343238946733,1.20717394997051,345,108
