Grau_mu,Erro_Norma,Max_Gap,Variaveis,Linhas_LMI
0,16.6389485674942,6.00702663913413,169,49
1,13.4303162274619,4.89752164053484,170,49
2,13.4452162923524,5.03955209508635,171,49
3,6.59337728788534,2.36653632898385,172,49
4,6.59164384390499,2.36610967633728,173,59
5,6.57569779455861,2.3558939701529,174,69
6,6.5732991876945,2.35468011874904,175,79
7,6.56478328984138,2.34954042101425,176,89
8,6.53112139543313,2.40210811400235,177,99
