Grau_P,Grau_rho,Erro_Norma,Max_Gap,Min_Gap,Norma_Melhor_Caso,Norma_Pior_Caso,Variaveis,Linhas_LMI
1,0,18.1932576086556,4.97588659136794,1.18608579357112,4.18616343563185,7.97596423342866,43,64
1,1,18.1438919337177,4.90421453167807,1.2572013260541,4.18616343908498,7.97596442247124,44,64
1,2,18.1444718166014,4.90507152434356,1.25635713529036,4.18616344786192,7.97596478622889,45,65
1,3,18.1439447417424,4.90429336196122,1.25712350164092,4.18616348884675,7.97596458602808,46,66
1,4,18.1450751076706,4.9059604434484,1.25548188926065,4.18616350300911,7.97596455926519,47,67
2,0,17.8346163649755,4.88533667414602,1.1113515697981,4.19185144870534,7.96583655305327,61,87
2,1,17.1017377629584,4.58258963472386,1.13884894374778,4.18566520662723,7.98387037232678,62,87
2,2,16.4847572982924,4.57481525344738,1.15494590656128,4.18590155845398,7.9798455965984,63,87
2,3,16.4847571274552,4.57481507798199,1.15494609126506,4.18590155915135,7.97984560989445,64,88
2,4,16.4847567176506,4.57481494420249,1.1549459738929,4.18590157765196,7.97984572637103,65,89
3,0,17.834616247935,4.88533666783168,1.11135153984951,4.19185145499687,7.96583658297905,79,110
3,1,17.1017382508044,4.58258952849126,1.13884926976945,4.18566517700147,7.98387017706892,80,110
3,2,15.950868827788,4.66840645515692,1.17825276966402,4.18694177910756,7.972809463719,81,110
3,3,15.850600164126,4.56629338696977,1.18973267732267,4.18626645290641,7.97596873207267,82,110
3,4,15.8506198417778,4.5662934220705,1.18973268067833,4.1862664529457,7.97596871490544,83,111
