Grau_P,Grau_rho,Erro_Norma,Max_Gap,Min_Gap,Norma_Melhor_Caso,Norma_Pior_Caso,Variaveis,Linhas_LMI
1,0,3.09009070962135,1.00750162125023,2.8155255904494e-13,3.96537588752078,4.97287750877129,19,33
1,1,0.628125834347931,0.192355594063918,7.5723168180275e-07,3.96537588752078,4.97287750877129,20,33
1,2,0.514517651417646,0.159420382239616,7.61929070058898e-07,3.96537588752078,4.97287750877129,21,33
1,3,0.51451754438067,0.159420355316466,7.39717649800298e-07,3.96537588752078,4.97287750877129,22,34
2,0,3.09009070960717,1.00750162124679,3.71791486486472e-12,3.96537588752078,4.97287750877129,28,46
2,1,0.627721969669475,0.192245044745475,4.69326799645842e-11,3.96537588752078,4.97287750877129,29,46
2,2,0.246374449183315,0.0863607598278131,9.66673852076383e-09,3.96537588752078,4.97287750877129,30,46
2,3,0.206799795227852,0.0737644390531988,1.87513018445884e-08,3.96537588752078,4.97287750877129,31,46
