Grau_P,Grau_rho,Erro_Norma,Max_Gap,Min_Gap,Norma_Melhor_Caso,Norma_Pior_Caso,Variaveis,Linhas_LMI
1,0,11.2233479753427,1.31887516116271,0.0402189988186477,3.96537588752078,5.24403204986484,28,60
1,1,4.06757128668234,0.363307241905371,0.00130518650688405,3.96537588752078,5.24403204986484,30,60
1,2,3.46095732951798,0.317329373461817,0.00131160152463794,3.96537588752078,5.24403204986484,33,60
1,3,3.46095733576208,0.317329424765739,0.0013116140182694,3.96537588752078,5.24403204986484,37,64
2,0,10.8249069704181,1.28935628926043,0.0107001269163707,3.96537588752078,5.24403204986484,55,106
2,1,3.36023800876264,0.31834661455924,5.70563152280101e-09,3.96537588752078,5.24403204986484,57,106
2,2,1.2749185028147,0.135135631218324,0.000706589095982757,3.96537588752078,5.24403204986484,60,106
2,3,1.08173237919435,0.129467400772868,2.56730459113896e-09,3.96537588752078,5.24403204986484,64,106
