Grau_mu,Erro_Norma,Max_Gap,Min_Gap,Norma_Melhor_Caso,Norma_Pior_Caso,Variaveis,Linhas_LMI
0,30.2037148503965,7.97402949650669,2.12445850190164,3.08869714449399,8.93826813909904,52,72
1,24.6000551216025,6.31052405191926,2.58386838669756,2.99371638704656,9.03745711854053,53,72
2,19.43643190539,5.08671798137164,2.5535785326907,2.96062351756647,8.98445559304784,54,72
3,18.8844970238909,4.75438606561357,2.81116219642307,2.91513014158318,9.00615988950077,55,72
4,18.8844875225772,4.75437603511566,2.81117253495102,2.91513196341576,9.0061589669082,56,72
5,18.884476824017,4.75436668488148,2.81114502070437,2.91514329994205,9.00615181181841,57,72
