Grau_P,Grau_rho,Erro_Norma,Max_Gap,Min_Gap,Norma_Melhor_Caso,Norma_Pior_Caso,Variaveis,Linhas_LMI,K_wc_Mode1_1,K_wc_Mode1_2,K_wc_Mode2_1,K_wc_Mode2_2
0,0,0.119449732762181,0.0329191358485059,0.0197338302790381,0.0451281906027118,0.0583134961721795,21,33,0.698361606646269,-0.540610055091353,0.908612833079807,-1.09775114002415
0,1,0.0914809665053403,0.0289703609507686,0.0103537212987412,0.0452098558140072,0.0583748390511791,24,34,0.742650436551806,-0.587111131714342,0.891755068409847,-1.07785431230097
0,2,0.0882281862715516,0.029407350697059,0.00999100743686216,0.0452077721903148,0.0583798784701497,27,41,0.74967642728171,-0.592436708678931,0.892565819055043,-1.07908978536501
0,3,0.0870147498622736,0.0296638088246196,0.00983803704517128,0.0452071162781874,0.0583811202061763,30,48,0.752728462252153,-0.594770801075971,0.892811999359002,-1.07957626754984
0,4,0.0863860714486193,0.029826713753893,0.0097541411259579,0.0452066328353435,0.05838132609366,33,55,0.754191032447763,-0.595873418382401,0.893016142364973,-1.07991382495444
0,5,0.0860018666925077,0.0299378723505597,0.00970109062940562,0.0452062696876781,0.0583815778207881,36,62,0.755135038230933,-0.596580201488436,0.893105886359445,-1.08009481173827
1,0,0.0914487130839604,0.0265613240089397,0.0136737546634785,0.0451255591323459,0.0580131284778071,27,51,0.608551428227343,-0.47035482088111,0.899770368852457,-1.09826969633555
1,1,0.0617563266016259,0.0194156746839078,0.00764306348391066,0.045335394111926,0.0578517944128791,30,52,0.530179974226155,-0.426775431244169,0.886947325222445,-1.07605444712219
1,2,0.0567024619320779,0.0196734144539923,0.00763295620658789,0.0453169414704972,0.0578202549326809,33,53,0.531213386140048,-0.4266167323628,0.889392017590661,-1.07969321115049
1,3,0.0549798151286576,0.0198948056355333,0.0075922034921818,0.0452969935026839,0.0578075649274313,36,60,0.528290970948091,-0.423149170498867,0.89107962689283,-1.08189633693432
1,4,0.0540914127762719,0.0200540290859381,0.00748222215164002,0.0452834872696369,0.0578003970471709,39,67,0.525565893378511,-0.420167564189159,0.892099445820617,-1.08321777935594
1,5,0.0535504805210264,0.020170113833113,0.00738055931849226,0.0452745498313422,0.0577958592330668,42,74,0.523560905200694,-0.418015416604392,0.892607289326492,-1.08394107980777
2,0,0.0914470299391866,0.0265611091672766,0.0136734694400427,0.0451254429014835,0.0580130826287174,33,69,0.60837980497204,-0.47018798613289,0.899901329456106,-1.09837184085066
2,1,0.061753042039197,0.0194154557869003,0.00764187979272004,0.0453351181527188,0.0578531590988785,36,70,0.530312131066246,-0.426867124431456,0.887060478592149,-1.07611450374531
2,2,0.0532597911616612,0.0194627689152565,0.00761170069890586,0.0453162627128565,0.0578286922019325,39,71,0.553535666516745,-0.444480055188071,0.890837877049662,-1.08185033567477
2,3,0.0517490814604128,0.019730786508619,0.00716640646490972,0.0453469238719747,0.0577872666247051,42,72,0.538869478663667,-0.434350436863181,0.893920725539534,-1.08502456324702
2,4,0.0507475614190712,0.0199028187130912,0.00682557754294076,0.0453393286566644,0.0577796894882365,45,79,0.5384644028885,-0.433633096423614,0.89513749217957,-1.08657776112253
2,5,0.0501536060375777,0.0200314401801579,0.00661328147451055,0.0453330108979441,0.0577748740570693,48,86,0.537758395731999,-0.432735055886964,0.896039825451049,-1.08769661232159
3,0,0.0914487203831637,0.0265612843736569,0.0136739222275972,0.0451255164197021,0.0580128785657619,39,87,0.608396427940492,-0.470221874493007,0.899809979596053,-1.09829912609881
