Grau_P,Grau_rho,Erro_Norma,Max_Gap,Min_Gap,Norma_Melhor_Caso,Norma_Pior_Caso,Variaveis,Linhas_LMI
1,0,0.149039358435578,0.0480079387071273,0.000251726794975315,3.16739543161152,3.21515164352367,17,92
1,1,0.14597900913228,0.0476041683621315,0.000466705913163334,3.1597343984298,3.2326101481625,18,92
1,2,0.0981482599167477,0.0309065824317463,0.00178650720953888,3.16020200753161,3.2305684167879,19,92
1,3,0.0705729469142762,0.0223539689022338,0.00210688826198835,3.16096569576178,3.22892440556848,20,120
1,4,0.0579324691368489,0.0186664797979428,0.00250455135619321,3.16107014597919,3.22908528557249,21,148
1,5,0.0501316603179106,0.0163218628878519,0.00250522123535513,3.16127152234363,3.22853681925415,22,176
2,0,0.149035895098335,0.0480071270144999,0.000251767899723365,3.16739626409042,3.2151516232052,21,124
2,1,0.14595249135938,0.0476074931679129,0.000443189523510412,3.15970550449425,3.23261860227764,22,124
2,2,0.0666242588331364,0.0235731065528402,0.000784274173500243,3.16112333317979,3.22835566244948,23,124
2,3,0.0658603133958947,0.0232053161536818,0.000800277140426076,3.16148664420766,3.22720057958383,24,124
2,4,0.0529158702012061,0.01870295948564,0.000880802316385765,3.16114391809619,3.22835601624649,25,152
2,5,0.0501860857006798,0.0173810504587633,0.00163561709788151,3.16001963892294,3.23326189878381,26,180
3,0,0.14903600238705,0.0480071550575758,0.000251770139144014,3.1673962431246,3.21515162804303,25,156
3,1,0.145952822411608,0.0476075438171897,0.000443151071666925,3.15970570042315,3.23261791344075,26,156
3,2,0.0547662507099639,0.0182770744611118,0.00114284936769105,3.15869819964728,3.23839467517101,27,156
3,3,0.0454544369064264,0.0166988018338214,0.000900853015694647,3.16060174001207,3.2301160026607,28,156
3,4,0.0432049991693532,0.0158719614148684,0.000899848549811733,3.1607269335993,3.22977643288663,29,156
3,5,0.0368962724952659,0.0136492582288539,0.000937272756409424,3.16055061685089,3.22973014557847,30,184
4,0,0.149036175440353,0.0480072004175622,0.000251777834306743,3.1673961976264,3.21515162020965,29,188
4,1,0.145952993621464,0.0476075642778753,0.000443191723688674,3.15970575004452,3.23261766431361,30,188
4,2,0.0438458810470034,0.0152944100968835,0.00116192589272357,3.1589039342976,3.23710504853832,31,188
4,3,0.0436540881210049,0.0153697719206956,0.000810266393338477,3.15849773907407,3.23642560466402,32,188
4,4,0.0377379737829511,0.0140873889234134,0.000934984347093604,3.16019830558483,3.23004312846542,33,188
4,5,0.0353354707630491,0.0130833691516226,0.000945184845073666,3.16000382621844,3.22971911853133,34,188
5,0,0.149035915660242,0.0480071368928976,0.000251776265959958,3.16739626266604,3.21515162329297,33,220
5,1,0.145953029693142,0.0476075470531798,0.00044319310849561,3.15970588214152,3.23261728513817,34,220
5,2,0.0409898570813386,0.0144781360993291,0.00106291613641396,3.15885167310886,3.23663365328977,35,220
5,3,0.0390082106183675,0.0143501605902889,0.000842276111392426,3.15891788192355,3.23370658876169,36,220
5,4,0.0325702913502682,0.0120870510808078,0.000959033983998658,3.1600967580258,3.23010138746167,37,220
5,5,0.0304415622854978,0.0113999968423935,0.000978143550615762,3.15994385176617,3.22992257581623,38,220
